Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hicks, Steven A; Andersen, Jorunn M; Witczak, Oliwia; Thambawita, Vajira; Halvorsen, Pål; Hammer, Hugo L; Haugen, Trine B; Riegler, Michael A; ",Machine learning-based analysis of sperm videos and participant data for male fertility prediction,Scientific reports,9,1,16770,2019,Nature Publishing Group UK London
"Thambawita, Vajira; Halvorsen, Pål; Hammer, Hugo; Riegler, Michael; Haugen, Trine B; ",Extracting temporal features into a spatial domain using autoencoders for sperm video analysis,arXiv preprint arXiv:1911.03100,,,,2019,
"Thambawita, Vajira; Halvorsen, Pål; Hammer, Hugo; Riegler, Michael; Haugen, Trine B; ",Stacked dense optical flows and dropout layers to predict sperm motility and morphology,arXiv preprint arXiv:1911.03086,,,,2019,
"Borgli, Hanna; Thambawita, Vajira; Smedsrud, Pia H; Hicks, Steven; Jha, Debesh; Eskeland, Sigrun L; Randel, Kristin Ranheim; Pogorelov, Konstantin; Lux, Mathias; Nguyen, Duc Tien Dang; ","HyperKvasir, a comprehensive multi-class image and video dataset for gastrointestinal endoscopy",Scientific data,7,1,283,2020,Nature Publishing Group UK London
"Thambawita, Vajira; Hicks, Steven Alexander; Borgli, Hanna; Stensland, Håkon Kvale; Jha, Debesh; Svensen, Martin Kristoffer; Pettersen, Svein-Arne; Johansen, Dag; Johansen, Håvard Dagenborg; Pettersen, Susann Dahl; ",Pmdata: a sports logging dataset,Proceedings of the 11th ACM Multimedia Systems Conference,,,231-236,2020,
"Jakobsen, Petter; Garcia-Ceja, Enrique; Stabell, Lena Antonsen; Oedegaard, Ketil Joachim; Berle, Jan Oystein; Thambawita, Vajira; Hicks, Steven Alexander; Halvorsen, Pål; Fasmer, Ole Bernt; Riegler, Michael Alexander; ",Psykose: A motor activity database of patients with schizophrenia,2020 IEEE 33rd International Symposium on Computer-Based Medical Systems (CBMS),,,303-308,2020,IEEE
"Svoren, Henrik; Thambawita, Vajira; Halvorsen, Pål; Jakobsen, Petter; Garcia-Ceja, Enrique; Noori, Farzan Majeed; Hammer, Hugo L; Lux, Mathias; Riegler, Michael Alexander; Hicks, Steven Alexander; ",Toadstool: A dataset for training emotional intelligent machines playing Super Mario Bros,Proceedings of the 11th ACM Multimedia Systems Conference,,,309-314,2020,
"Thambawita, Vajira; Jha, Debesh; Hammer, Hugo Lewi; Johansen, Håvard D; Johansen, Dag; Halvorsen, Pål; Riegler, Michael A; ",An extensive study on cross-dataset bias and evaluation metrics interpretation for machine learning applied to gastrointestinal tract abnormality classification,ACM Transactions on Computing for Healthcare,1,3,1-29,2020,"ACM New York, NY, USA"
"Said, N; Ahmad, N; Pogorelov, K; Riegler, M; Halvorsen, P; Ahmad, K; Conci, N; Ostroukhova, O; Dang-Nguyen, DT; Randel, KR; ",CEUR WORKSHOP PROCEEDINGS,,,,,2018,
"Smedsrud, Pia H; Thambawita, Vajira; Hicks, Steven A; Gjestang, Henrik; Nedrejord, Oda Olsen; Næss, Espen; Borgli, Hanna; Jha, Debesh; Berstad, Tor Jan Derek; Eskeland, Sigrun L; ","Kvasir-Capsule, a video capsule endoscopy dataset",Scientific Data,8,1,142,2021,Nature Publishing Group UK London
"Garcia-Ceja, Enrique; Thambawita, Vajira; Hicks, Steven A; Jha, Debesh; Jakobsen, Petter; Hammer, Hugo L; Halvorsen, Pål; Riegler, Michael A; ",Htad: A home-tasks activities dataset with wrist-accelerometer and audio features,"MultiMedia Modeling: 27th International Conference, MMM 2021, Prague, Czech Republic, June 22–24, 2021, Proceedings, Part II 27",,,196-205,2021,Springer International Publishing
"Jha, Debesh; Ali, Sharib; Emanuelsen, Krister; Hicks, Steven A; Thambawita, Vajira; Garcia-Ceja, Enrique; Riegler, Michael A; de Lange, Thomas; Schmidt, Peter T; Johansen, Håvard D; ",Kvasir-instrument: Diagnostic and therapeutic tool segmentation dataset in gastrointestinal endoscopy,"MultiMedia Modeling: 27th International Conference, MMM 2021, Prague, Czech Republic, June 22–24, 2021, Proceedings, Part II 27",,,218-229,2021,Springer International Publishing
"Hicks, Steven A; Thambawita, Vajira; Hammer, Hugo L; Haugen, Trine B; Andersen, Jorunn M; Witczak, Oliwia; Halvorsen, Pål; Riegler, Michael A; ",ACM multimedia biomedia 2020 grand challenge overview,Proceedings of the 28th ACM International Conference on Multimedia,,,4655-4658,2020,
"Thambawita, Vajira; Hicks, Steven; Halvorsen, Pål; Riegler, Michael A; ",Pyramid-focus-augmentation: medical image segmentation with step-wise focus,arXiv preprint arXiv:2012.07430,,,,2020,
"Rongved, Olav A Norgård; Hicks, Steven A; Thambawita, Vajira; Stensland, Håkon K; Zouganeli, Evi; Johansen, Dag; Riegler, Michael A; Halvorsen, Pål; ",Real-time detection of events in soccer videos using 3D convolutional neural networks,2020 IEEE International Symposium on Multimedia (ISM),,,135-144,2020,IEEE
"Nedrejord, Oda O; Thambawita, Vajira; Hicks, Steven A; Halvorsen, Pål; Riegler, Michael A; ",Vid2Pix-A Framework for Generating High-Quality Synthetic Videos,2020 IEEE International Symposium on Multimedia (ISM),,,25-26,2020,IEEE
"Hicks, Steven A; Isaksen, Jonas L; Thambawita, Vajira; Ghouse, Jonas; Ahlberg, Gustav; Linneberg, Allan; Grarup, Niels; Strümke, Inga; Ellervik, Christina; Olesen, Morten Salling; ",Explaining deep neural networks for knowledge discovery in electrocardiogram analysis,Scientific reports,11,1,10949,2021,Nature Publishing Group UK London
"Hicks, Steven A; Jha, Debesh; Thambawita, Vajira; Halvorsen, Pål; Hammer, Hugo L; Riegler, Michael A; ","The EndoTect 2020 challenge: evaluation and comparison of classification, segmentation and inference time for endoscopy","Pattern Recognition. ICPR International Workshops and Challenges: Virtual Event, January 10-15, 2021, Proceedings, Part VIII",,,263-274,2021,Springer International Publishing
"Jha, Debesh; Ali, Sharib; Hicks, Steven; Thambawita, Vajira; Borgli, Hanna; Smedsrud, Pia H; de Lange, Thomas; Pogorelov, Konstantin; Wang, Xiaowei; Harzig, Philipp; ",A comprehensive analysis of classification methods in gastrointestinal endoscopy imaging,Medical image analysis,70,,102007,2021,Elsevier
"Hicks, Steven A; Strümke, Inga; Thambawita, Vajira; Hammou, Malek; Riegler, Michael A; Halvorsen, Pål; Parasa, Sravanthi; ",On evaluation metrics for medical applications of artificial intelligence,Scientific reports,12,1,5979,2022,Nature Publishing Group UK London
"Thambawita, Vajira L; Hicks, Steven; Strümke, Inga; Riegler, Michael A; Halvorsen, Pal; Parasa, Sravanthi; ",Fr615 impact of image resolution on convolutional neural networks performance in gastrointestinal endoscopy,Gastroenterology,160,6,S-377,2021,WB Saunders
"Thambawita, Vajira L; Strümke, Inga; Hicks, Steven; Riegler, Michael A; Halvorsen, Pål; Parasa, Sravanthi; ",ID: 3523524 Data augmentation using generative adversarial networks for creating realistic artificial colon polyp images: validation study by endoscopists,Gastrointestinal Endoscopy,93,6,AB190,2021,Mosby
"Khadga, Rabindra; Jha, Debesh; Ali, Sharib; Hicks, Steven; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pål; ",Few-shot segmentation of medical images based on meta-learning with implicit gradients,arXiv preprint arXiv:2106.03223,,,,2021,
"Thambawita, Vajira; Hicks, Steven A; Isaksen, Jonas; Stensen, Mette Haug; Haugen, Trine B; Kanters, JØrgen; Parasa, Sravanthi; De Lange, Thomas; Johansen, Håvard D; Johansen, Dag; ",DeepSynthBody: the beginning of the end for data deficiency in medicine,2021 International Conference on Applied Artificial Intelligence (ICAPAI),,,1-8,2021,IEEE
"Thambawita, Vajira; Salehi, Pegah; Sheshkal, Sajad Amouei; Hicks, Steven A; Hammer, Hugo L; Parasa, Sravanthi; Lange, Thomas de; Halvorsen, Pål; Riegler, Michael A; ",SinGAN-Seg: Synthetic training data generation for medical image segmentation,PloS one,17,5,e0267976,2022,"Public Library of Science San Francisco, CA USA"
"Thambawita, Vajira; Hicks, Steven A; Halvorsen, Pål; Riegler, Michael A; ",Divergentnets: Medical image segmentation by network ensemble,arXiv preprint arXiv:2107.00283,,,,2021,
"Rongved, Olav A Nergård; Hicks, Steven A; Thambawita, Vajira; Stensland, Håkon K; Zouganeli, Evi; Johansen, Dag; Midoglu, Cise; Riegler, Michael A; Halvorsen, Pål; ",Using 3D convolutional neural networks for real-time detection of soccer events,International Journal of Semantic Computing,15,02,161-187,2021,World Scientific Publishing Company
"Gjestang, Henrik L; Hicks, Steven A; Thambawita, Vajira; Halvorsen, Pål; Riegler, Michael A; ",A self-learning teacher-student framework for gastrointestinal image classification,2021 IEEE 34th International Symposium on Computer-Based Medical Systems (CBMS),,,539-544,2021,IEEE
"Thambawita, V; Haugen, TB; Stensen, MH; Witczak, O; Hammer, HL; Halvorsen, P; Riegler, MA; ",P–029 Identification of spermatozoa by unsupervised learning from video data,Human Reproduction,36,Supplement_1,deab130. 028,2021,Oxford University Press
"Baugerud, Gunn Astrid; Johnson, Miriam S; Klingenberg Røed, Ragnhild; Lamb, Michael E; Powell, Martine; Thambawita, Vajira; Hicks, Steven A; Salehi, Pegah; Hassan, Syed Zohaib; Halvorsen, Pål; ",Multimodal virtual avatars for investigative interviews with children,Proceedings of the 2021 ACM Workshop on Intelligent Cross-Data Analysis and Retrieval,,,2-8,2021,
